Unnamed: 0,filename,id,sex,weight,height,complete,area,area_cc,mayor_axis,minor_axis,percent_area,eccentricity,perimeter,width_bbox,height_bbox,mask_method,symmetry,symmetry_v,orientation,distance,area_bb,good,augmented,train_set,train
2,960fd92c91f541f6b85889426c39a0fe,0261,1,27.1,1.3714873046875,True,105873.0,337319.8076834129,667.2186889648438,220.8692169189453,0.6251247320843395,0.943620327967414,2358.1159946918488,659.0,257.0,NEW,0.8465956929294441,0.8059573034969222,96.02850341796876,223.3763640137425,169363.0,Selected,False,True,True
3,ca10f050724d47f5971c3530ef341a8d,0236,0,25.5,1.3685467529296875,True,75486.0,322033.996722844,687.007568359375,166.5236358642578,0.39990464081373167,0.9701789415704178,1858.2682354450224,572.0,330.0,NEW,0.8807089297886844,0.8265691363850873,110.99371337890624,296.708611267014,188760.0,Selected,False,True,True
5,46d3f67bbf684992ac945ce7c1991ae7,0238,1,25.8,1.39519287109375,True,84882.5,417289.0341478151,626.21826171875,192.98443603515625,0.6316837209302326,0.9513298798037022,1766.3788454532623,625.0,215.0,NEW,0.9110838732271056,0.7577890620440086,93.97813415527344,247.1214276423637,134375.0,Selected,False,True,True
6,ecb27b5ef70c48e69d6296a5e91e3faf,0230,0,25.5,1.335029052734375,True,77987.0,336697.9499642005,564.3126220703125,200.2740020751953,0.4305486545872117,0.9349046361254424,1754.3616000413897,522.0,347.0,NEW,0.7570312996000254,0.843730556790045,61.4073371887207,223.2129028528593,181134.0,Selected,False,True,False
7,9ae21f9f018d449c87e67cbf7fe488f9,0273,1,22.5,1.3861619873046875,True,80615.0,301201.4474430985,640.8353271484375,185.6433868408203,0.5245981648988092,0.957120621389544,1885.190028548241,605.0,254.0,NEW,0.7731804341420293,0.883582162852372,100.84872436523438,249.09837414162303,153670.0,Selected,False,True,False
8,5aef30b5903a4d169cf1ab3705d2007d,0232,1,23.6,1.3683870849609374,True,93202.5,329400.7840897293,647.7086791992188,206.7827911376953,0.6323443606165872,0.9476695983903716,1876.344355583191,658.0,224.0,NEW,0.7169735064824564,0.8701487933803431,89.7817153930664,307.7092783781471,147392.0,Selected,False,True,False
9,3d4bcf80270c489c9d890c6040cceb93,0268,1,24.5,1.4269844970703125,True,76233.0,320271.02755475004,574.6427001953125,199.43099975585935,0.48101385628833193,0.9378458225397038,2084.493631362915,564.0,281.0,NEW,0.7997147857652168,0.7820055746418617,74.26580810546875,239.40133667128927,158484.0,Discarded,False,True,True
10,c251f627c0bc4b37a300cb31baee1139,0273,1,22.5,1.387294189453125,True,78913.0,296990.087774946,626.7020263671875,186.0426483154297,0.5430515986071541,0.9549210698102132,1853.5331752300265,598.0,243.0,NEW,0.7695877387716196,0.8933288181510328,99.05731964111328,233.41379565055703,145314.0,Selected,False,True,False
11,ac2e6ff503924de7b848a83cd6d83a13,0236,0,25.5,1.254822509765625,True,74598.0,358135.6114819836,681.75146484375,164.73373413085938,0.39919303052356697,0.9703676802544186,1923.8662167787552,568.0,329.0,NEW,0.8920886201821725,0.8134653885419567,111.3700942993164,293.7209560109731,186872.0,Selected,False,True,True
14,8ee7550d638e42fa8f55867444770eef,0239,1,22.8,1.3456806640625,True,77105.0,284013.78545612696,566.9645385742188,229.06838989257807,0.37508269769613944,0.9147475206995522,1909.5230697393415,584.0,352.0,NEW,0.5749082415749083,0.8499525166191833,118.1197509765625,279.3027031734566,205568.0,Selected,False,True,False
