,uuid,id,sex,weight,predicted_weight,difference,area,width,height,MA,ma,eccentricity,perimeter,per_area,symmetry
1,960fd92c91f541f6b85889426c39a0fe,0261,1,27.1,17.7,9.400000000000002,0.8574131374450862,0.6593406593406593,0.40372670807453415,0.6586068517514722,0.4840757730684291,0.947797441843278,0.6796792528914812,0.7192956723270588,0.32564551799408337
14,9782bca62cac4398b4c57107914af733,0239,1,22.8,24.0,1.1999999999999993,0.6084789100957761,0.3937728937728937,0.608695652173913,0.4010947947139589,0.407064105427531,0.9260205845528902,0.42669655082911095,0.2356950230823498,0.20848451018699413
15,7b85ce2504aa488d8fbcc05dd3fc4172,0238,1,25.8,26.8,1.0,0.7786932054646747,0.4267399267399268,0.21118012422360244,0.42264152160820934,0.24218955137319065,0.9522525385526333,0.428341000322618,0.6612087045619942,0.3136587400917814
20,310afc048d3745778237ebee3307e312,0251,0,24.2,26.8,2.6000000000000014,0.7417652681100781,0.5860805860805861,0.4906832298136645,0.6396628551430817,0.3239050628596365,0.9617657317401324,0.6317066454784344,0.3649383429677744,0.26832862888117304
40,f6f09697cf0a437187946b88da3ea27b,0251,0,24.2,20.4,3.8000000000000007,0.7175739109355432,0.5824175824175825,0.5217391304347826,0.6611463278427882,0.2568008086563629,0.9686960694363368,0.6592898513799841,0.29645529567062257,0.2802758763473557
46,31a1b67345254c29aca46ef3852fe55d,0236,0,25.5,21.8,3.6999999999999993,0.797311636831624,0.4999999999999999,0.6055900621118012,0.6330335405366568,0.2343122783211613,0.9689633711530814,0.5370055567935694,0.21739736328652015,0.278492545554942
52,8cb9ee260d6243369c6cdf505fd74d7d,0268,1,24.5,26.6,2.1000000000000014,0.7628338192061299,0.46886446886446886,0.6211180124223603,0.570779143061155,0.3505357450107064,0.9539349341473032,0.6219127257306951,0.28038855354868986,0.2758002727095643
53,fa0ca8ed6e2142908594359886f768b3,0238,1,25.8,13.5,12.3,0.8242450976563269,0.41208791208791207,0.24844720496894412,0.35665343423470386,0.4245583567471567,0.914838605774794,0.4643643763549927,0.7385669630243411,0.30284586528466184
54,abc69a7c952c4963ad7ca15e0303540e,0238,1,25.8,27.2,1.3999999999999986,0.8185388330841381,0.8131868131868131,0.3726708074534162,0.8575179170414892,0.47478083059591425,0.9627383815795264,0.8294654267445876,0.7053830063341323,0.329608497883417
56,2a9930aaae514dd89b8047cbbf3e9252,0239,1,22.8,25.5,2.6999999999999993,0.608050497736895,0.3846153846153846,0.6273291925465838,0.3947866167875257,0.4225470314463631,0.9224066608998782,0.43167214008256405,0.23007223664608112,0.1995737978319281
57,54dc10e75aac43c3828227826b97919a,0238,1,25.8,17.7,8.100000000000001,0.8579306389927077,0.42490842490842484,0.24534161490683226,0.3842359652243672,0.36632908360620964,0.9297741658848064,0.4659513168553824,0.7370951566849454,0.32175817536439844
